fy,producer,purchase_class,kwh_cy,kwh_py,bdt_cy,bdt_py,bdt_per_kwh_cy,zero_generation_payment,source_doc
FY2022-23,RPC LTD. Mymensingh (210 MW),ipp,699028425.0,1106935572.0,3988275958.0,4130993792.0,5.7055,,BPDB 2022-23.pdf
FY2022-23,B-R Powergen Ltd.(BRPL),ipp,426410813.0,480557237.0,10857191501.0,9535028277.0,25.4618,,BPDB 2022-23.pdf
FY2022-23,Haripur Power Ltd.,ipp,2370597850.0,1919174000.0,6249378037.0,3267873587.0,2.6362,,BPDB 2022-23.pdf
FY2022-23,Meghnaghat Power Ltd.,ipp,2122537049.0,2140792000.0,8977102355.0,5709336569.0,4.2294,,BPDB 2022-23.pdf
FY2022-23,Doreen Power Generation & System Ltd.-Feni,ipp,152664911.0,161137638.0,588824216.0,467524474.0,3.857,,BPDB 2022-23.pdf
FY2022-23,Doreen Power Generation & System Ltd.- Tangail,ipp,126435012.0,156351263.0,543940155.0,462019663.0,4.3021,,BPDB 2022-23.pdf
FY2022-23,Regent Power Ltd.,ipp,70807466.0,147081880.0,436522485.0,453755759.0,6.1649,,BPDB 2022-23.pdf
FY2022-23,Summit Purbachal Power Ltd.-Jangalia,ipp,228536043.0,232729909.0,1149869368.0,945539654.0,5.0315,,BPDB 2022-23.pdf
FY2022-23,Summit Meghnaghat Power Ltd.,ipp,1177688704.0,1524542505.0,10009832413.0,6428574957.0,8.4996,,BPDB 2022-23.pdf
FY2022-23,Midland Power Company Ltd.,ipp,333608753.0,370760585.0,1545370273.0,1021219011.0,4.6323,,BPDB 2022-23.pdf
FY2022-23,Raj Lanka Power Limited,ipp,59674439.0,234706041.0,1556273840.0,3656894613.0,26.0794,,BPDB 2022-23.pdf
FY2022-23,Baraka Patenga Power Limited,ipp,186282624.0,232871760.0,3547873329.0,3620246651.0,19.0456,,BPDB 2022-23.pdf
FY2022-23,Digital Power & Associates Ltd.,ipp,289381190.0,440988642.0,5814735402.0,7478876342.0,20.0937,,BPDB 2022-23.pdf
FY2022-23,Regent Energy & Power Ltd.,ipp,467745222.0,360724103.0,2159146231.0,1472507201.0,4.6161,,BPDB 2022-23.pdf
FY2022-23,United Power Generation & Distribution,ipp,156985440.0,193143360.0,456618481.0,642881762.0,2.9087,,BPDB 2022-23.pdf
FY2022-23,RPCL 52MW Gazipur,ipp,231599150.0,209417122.0,4928709185.0,3793092964.0,21.2812,,BPDB 2022-23.pdf
FY2022-23,RPCL 25MW Rawjan,ipp,131373257.0,80466131.0,2763389415.0,1502164876.0,21.0346,,BPDB 2022-23.pdf
FY2022-23,Lakdhanvi Bangla Power Ltd.,ipp,107558859.0,217114112.0,2501096744.0,3654069728.0,23.2533,,BPDB 2022-23.pdf
FY2022-23,ECPV Power Ltd.,ipp,85806552.0,407101368.0,2829340172.0,7158148504.0,32.9735,,BPDB 2022-23.pdf
FY2022-23,Sinha People Energy Ltd.,ipp,0.0,25438560.0,0.0,497991030.0,,,BPDB 2022-23.pdf
FY2022-23,ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,606898512.0,809133408.0,11595940386.0,13339615719.0,19.1069,,BPDB 2022-23.pdf
FY2022-23,United Ashugang Energy Ltd.,ipp,357464994.0,259236429.0,4532341541.0,2895092642.0,12.6791,,BPDB 2022-23.pdf
FY2022-23,Summit Bibiyana II Power Company Ltd.,ipp,2164952204.0,2310625924.0,8769679402.0,5996723144.0,4.0507,,BPDB 2022-23.pdf
FY2022-23,Summit Barishal Power Ltd.,ipp,114976896.0,62791776.0,3712705174.0,2313583188.0,32.2909,,BPDB 2022-23.pdf
FY2022-23,Summit Narayangonj Power Unit II Ltd.,ipp,250675040.0,288604038.0,4935475646.0,4990935236.0,19.6887,,BPDB 2022-23.pdf
FY2022-23,Doreen Southern Power Limited,ipp,198144857.0,311143774.0,4057804394.0,5040225092.0,20.479,,BPDB 2022-23.pdf
FY2022-23,Doreen Northern Power Limited,ipp,218947701.0,297602757.0,4052794642.0,4903100529.0,18.5103,,BPDB 2022-23.pdf
FY2022-23,Power Pac Motiara - Jamalpur,ipp,0.0,13945632.0,0.0,307097193.0,,,BPDB 2022-23.pdf
FY2022-23,Shahjanullah Power Generation Co. Ltd.,ipp,70061323.0,119664201.0,238069873.0,413061164.0,3.398,,BPDB 2022-23.pdf
FY2022-23,Engreen Solar,ipp,4169099.0,3997213.0,82652029.0,65644538.0,19.8249,,BPDB 2022-23.pdf
FY2022-23,Kushiara Power Company Ltd.,ipp,371388862.0,1038532925.0,3035148175.0,3185653217.0,8.1724,,BPDB 2022-23.pdf
FY2022-23,Banco Energy Generation Ltd.,ipp,157741560.0,376975008.0,3420808059.0,5969027473.0,21.6862,,BPDB 2022-23.pdf
FY2022-23,Bangla Track Power Company Ltd.,ipp,219334080.0,159163968.0,9285172468.0,6736713233.0,42.3335,,BPDB 2022-23.pdf
FY2022-23,Bangla Track Power Company Ltd. (Unit-2),ipp,85970400.0,102068064.0,4189929615.0,3703225481.0,48.7369,,BPDB 2022-23.pdf
FY2022-23,Aggreko Energy Solution Ltd. - Aorahati (100MW),ipp,167533969.0,131526563.0,6836163416.0,4417000846.0,40.8046,,BPDB 2022-23.pdf
FY2022-23,Aggreko Energy Solution Ltd. - Bhahmangoan (100MW),ipp,146037206.0,120485001.0,5977709811.0,4245841612.0,40.9328,,BPDB 2022-23.pdf
FY2022-23,APR Energy 300MW,ipp,471396498.0,259472196.0,19801984728.0,10835439637.0,42.0071,,BPDB 2022-23.pdf
FY2022-23,United Mymensingh Power Ltd. (200MW),ipp,661459680.0,1052002800.0,13813967008.0,17447304343.0,20.8841,,BPDB 2022-23.pdf
FY2022-23,Technaf Solartech Energy Ltd. (20MW),ipp,39239868.0,37555078.0,571767753.0,452146681.0,14.5711,,BPDB 2022-23.pdf
FY2022-23,Acron Infracture Service Ltd. (Unit-3),ipp,316925750.0,586327094.0,6722884515.0,8847932285.0,21.2128,,BPDB 2022-23.pdf
FY2022-23,Sembcorp NWPC Ltd. - Sirajgonj (282MW),ipp,2534088188.0,2817383745.0,13091592017.0,9132705810.0,5.1662,,BPDB 2022-23.pdf
FY2022-23,Paramount BTrac Energy Ltd. - Sirajgonj,ipp,146655047.0,104571634.0,8261692003.0,5791953269.0,56.3342,,BPDB 2022-23.pdf
FY2022-23,Orion Power Rupsha Ltd. - Khulna (105MW),ipp,252984384.0,540193296.0,5258595419.0,9038681251.0,20.7862,,BPDB 2022-23.pdf
FY2022-23,Desh Energy Chandpur Power Company Ltd.,ipp,591426293.0,752048193.0,12127923477.0,12934344889.0,20.5062,,BPDB 2022-23.pdf
FY2022-23,Midland East Power Company Ltd.,ipp,546691934.0,858896611.0,11529125480.0,13304285799.0,21.0889,,BPDB 2022-23.pdf
FY2022-23,Baraka Shikalbaha Power Ltd. (105MW),ipp,454346839.0,610898228.0,8325453923.0,9816459440.0,18.324,,BPDB 2022-23.pdf
FY2022-23,Confidence Power Ltd. - Rangpur (113MW),ipp,429432672.0,623970029.0,8871466117.0,10001094642.0,20.6586,,BPDB 2022-23.pdf
FY2022-23,Confidence Power Ltd. (Unit-1) - Bogra,ipp,454345152.0,613355712.0,8897964352.0,10097178928.0,19.5842,,BPDB 2022-23.pdf
