producer,method,energy_rate_bdt_kwh,fixed_payment_bdt,fixed_share,flag
RPC LTD. Mymensingh (210 MW),two_point,3.9011,3799146182.0,0.8001,
BPDB RPCL Power Gen Ltd.,two_point,23.781,1126369509.0,0.0948,
Haripur Power Ltd.,observed_zero_dispatch,,502765.0,1.0,
Meghnaghat Power Ltd.,two_point,131.0364,-381073662580.0,-23.6115,sign_implausible_needs_panel
Doreen Power Generation & System Ltd.-Feni,two_point,,,,insufficient_variation
Doreen Power Generation & System Ltd.- Tangail,two_point,,,,insufficient_variation
Regent Power Ltd.,two_point,,,,insufficient_variation
Summit Purbachal Power Ltd.-Jangalia,two_point,,,,insufficient_variation
Summit Meghnaghat Power Ltd.,two_point,6.3248,3428092422.0,0.2909,
Midland Power Company Ltd.,two_point,21.9464,-5418747595.0,-1.9806,sign_implausible_needs_panel
Raj Lanka Power Limited,two_point,16.1133,336108750.0,0.555,
Baraka Patenga Power Limited,two_point,0.0798,2021723116.0,0.9972,
Digital Power & Associates Ltd.,two_point,15.8155,1722298406.0,0.5767,
Regent Energy & Power Ltd.,two_point,3.9286,1175591739.0,0.9259,
United Power Generation & Distribution,two_point,91.3653,-15197590452.0,-9.2936,sign_implausible_needs_panel
RPCL 52MW Gazipur,two_point,27.9022,-105853248.0,-0.043,sign_implausible_needs_panel
RPCL 25MW Rawjan,two_point,19.1773,358117791.0,0.3973,
Lakdhanvi Bangla Power Ltd.,two_point,15.7885,1204483449.0,0.3778,
EPV Power Ltd.,two_point,50.1681,-502038426.0,-0.1671,sign_implausible_needs_panel
ACE Alliance Power Ltd. (149MW) (Summit Gazipur),two_point,27.2954,-1477681212.0,-0.1061,sign_implausible_needs_panel
United Ashugang Energy Ltd.,two_point,4.9236,3543230409.0,0.4592,
Summit Bibiyana II Power Company Ltd.,two_point,-18.6319,57887095043.0,4.2241,sign_implausible_needs_panel
Summit Barishal Power Ltd.,two_point,14.6938,2477089768.0,0.6572,
Summit Narayangonj Power Unit II Ltd.,two_point,16.2389,1255745748.0,0.3786,
