plant_name,bpdb_mw,gem_mw,gem_unit_id
Ashuganj Rental Power Plant,50.0,56.0,G100000412587
Ashuganj 50 MW Power Plant,53.0,56.0,G100000412587
Fenchuganj 90 MW CC,104.0,104.0,G100000406029
Bera 70 MW Peaking PP,71.0,74.6,G100000411861
Faridpur 50 MW Peaking PP,54.0,55.8,G100000411841
Gopalganj 100 MW Peaking PP,109.0,111.7,G100000411836
Hathazari 100 MW Peaking PP,98.0,97.9,G100000411835
Ashuganj (Sponsor: United Power),53.0,56.0,G100000412587
Santahar 50 MW Peaking Power Plant,50.0,52.2,G100000411799
Katakhali 50 MW Peaking Power Plant,50.0,52.2,G100000411825
Chandpur 150 MW CC Power Plant,163.0,163.0,G100000406027
Haripur 360 MW CCPP,412.0,412.0,G100000406039
"Ghorashal, Narsindi 100 MW PP",108.0,113.9,G100000411837
"Kodda, Gazipur 150 MW Power Plant",149.0,153.5,G100000411823
Bhola 225 MW CCPP,194.0,225.0,G100000406023
Ashuganj 195 MW Modular PP,195.0,194.6,G100000413086
Ashuganj (South) 450 MW CCPP,373.0,450.0,G100000406013
Manikganj 55 MW PP,55.0,57.9,G100000411820
Ashuganj 450 MW CCPP (South),360.0,450.0,G100000406013
Chapainawabganj 100 MW PP,104.0,107.1,G100000411859
"Bosila, Keraniganj 108 MW PP",108.0,105.3,G100000411857
Kamalaghat 50 MW PP,54.0,56.1,G100000411829
Barapukuria 275 MW (3rd Unit),274.0,275.0,G100000100600
"Teknaf, Coxsbazar 20 MW solar park",20.0,20.0,G100000801684
Bibiana #3 CCPP,400.0,400.0,G100000406026
"Payra, Potuakhali 1320 Coal Fired Power Plant (1st Unit)",622.0,660.0,G100000105461
