year,obligation_bdt,expiring_annual_payment_bdt
2026,59816965092.0,919219011.0
2027,58586568382.0,4786550221.0
2028,54570805366.0,0.0
2029,53444752698.0,1593609540.0
2030,51657888670.0,2261669411.0
2031,49054034004.0,3938889130.0
2032,45926128888.0,1710458583.0
2033,31923572068.0,22491560527.0
2034,19924764467.0,4671583250.0
2035,12194855647.0,10233806969.0
2036,3834613978.0,7669227956.0
2037,0.0,0.0
2038,0.0,0.0
2039,0.0,0.0
2040,0.0,0.0
2041,0.0,0.0
2042,0.0,0.0
2043,0.0,0.0
2044,0.0,0.0
2045,0.0,0.0
