producer,fuel,n_obs,fixed_payment_bdt,flag
United Mymensingh Power Ltd. (200MW),gas,6,10956932358.0,
United - Anawara (300MW),hfo,6,4817166382.0,
Summit Gazipur II Power Ltd. - Kodda (300MW),hfo,6,4782372884.0,
Summit Meghnaghat Power Ltd.,gas,6,4714165507.0,
United Ashugang Energy Ltd.,gas,6,3108629998.0,
Desh Energy Chandpur Power Company Ltd.,hfo,6,2989034926.0,
Midland East Power Company Ltd.,hfo,6,2243658124.0,
United Jamalpur 200MW,hfo,6,2216015205.0,
ACE Alliance Power Ltd. (149MW) (Summit Gazipur),hfo,6,2162625363.0,
Confidence Power Ltd. (Unit-2) - Bogra,hfo,6,2071945775.0,
United Payra (150MW),hfo,4,2045682915.0,
RPCL - Gazipur (105MW),hfo,6,1883287968.0,
Confidence Power Ltd. (Unit-1) - Bogra,hfo,4,1860958939.0,
Summit Bibiyana II Power Company Ltd.,gas,6,1760248679.0,
Confidence Power Ltd. - Rangpur (113MW),hfo,4,1754447562.0,
Summit Barishal Power Ltd.,hfo,6,1722874757.0,
Orion Power Rupsha Ltd. - Khulna (105MW),hfo,6,1628489697.0,
Anlima Energy Limited (116MW),hfo,4,1571704334.0,
Lanka Power Limited - Feni,hfo,6,1566866272.0,
Meghnaghat Power Ltd.,gas,6,1556329911.0,
Baraka Shikalbaha Power Ltd. (105MW),hfo,6,1502584051.0,
Kushiara Power Company Ltd.,gas,6,1457043813.0,
Karnaphuli Power Ltd.,hfo,6,1444876390.0,
ECPV Power Ltd.,hfo,5,1444717172.0,
Orion Power Sonargaon Ltd.,hfo,6,1342341962.0,
Digital Power & Associates Ltd.,hfo,6,1289043673.0,
Banco Energy Generation Ltd.,hfo,4,979004212.0,
Summit Narayangonj Power Unit II Ltd.,hfo,6,919218308.0,
Chandpur Power Generation Lttd. (115MW),hfo,4,904862176.0,
RPCL 52MW Gazipur,hfo,6,892582560.0,
Doreen Southern Power Limited,hfo,4,882509700.0,
Regent Energy & Power Ltd.,gas,6,864538722.0,
Lakdhanvi Bangla Power Ltd.,hfo,6,816272772.0,
Doreen Northern Power Limited,hfo,4,815184780.0,
Bhairab Power Limited (54.50MW),hfo,4,806338885.0,
Baraka Patenga Power Limited,hfo,6,658496382.0,
Raj Lanka Power Limited,hfo,6,535020287.0,
Midland Power Company Ltd.,gas,6,490746200.0,
RPCL 25MW Rawjan,hfo,6,455956609.0,
Summit Purbachal Power Ltd.-Jangalia,gas,5,437252138.0,
Regent Power Ltd.,gas,5,189385476.0,
Doreen Power Generation & System Ltd.- Tangail,gas,5,143327831.0,
Doreen Power Generation & System Ltd.-Feni,gas,5,129020186.0,
Spectra Solar Park,solar,4,56650732.0,
Engreen Solar,solar,6,23623222.0,
Sympa Solar Power Limited,solar,6,1090918.0,
Haripur Power Ltd.,gas,6,-560291756.0,negative_intercept
