plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-shikalbaha-55-mw-rental-power-plant-2010,Shikalbaha 55 MW Rental Power Plant,Shikalbaha,55.0,hfo,HFO,rental,BPDB,,2010-05-06,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-rental-power-plant-2010,Ashuganj Rental Power Plant,Ashuganj,50.0,gas,Gas,rental,BPDB,,2010-04-07,day,,bpdb_ar2019_20_commissioning
bd-thakurgaon-3-years-rental-khulna-sponsor-aggreko-2010,"Thakurgaon, 3 Years Rental Khulna (Sponsor: Aggreko)",Thakurgaon,55.0,hfo,HFO,rental,BPDB,Aggreko,2010-08-02,day,,bpdb_ar2019_20_commissioning
bd-pagla-narayaganj-sponsor-dpapgl-2010,"Pagla, Narayaganj (Sponsor: DPAPGL)",Pagla,55.0,gas,Gas,rental,BPDB,DPAPGL,2010-08-23,day,,bpdb_ar2019_20_commissioning
bd-bheramara-3-years-rental-2010,Bheramara 3 Years Rental,Bheramara,50.0,hsd,Diesel,rental,BPDB,,2010-08-10,day,,bpdb_ar2019_20_commissioning
bd-ghorashal-sponsor-aggreko-2010,Ghorashal (Sponsor: Aggreko),Ghorashal,145.0,hsd,Diesel,rental,BPDB,Aggreko,2010-11-24,day,,bpdb_ar2019_20_commissioning
bd-shikalbaha-150-mw-2010,Shikalbaha 150 MW,Shikalbaha,150.0,hfo,HFO,public,BPDB,,2010-08-18,day,,bpdb_ar2019_20_commissioning
bd-siddhirganj-2x120-mw-gt-2010,Siddhirganj 2x120 MW GT,Siddhirganj,105.0,gas,Gas,public,EGCB,,2010-10-14,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-50-mw-power-plant-2011,Ashuganj 50 MW Power Plant,Ashuganj,53.0,gas,Gas,public,APSCL,,2011-04-30,day,,bpdb_ar2019_20_commissioning
bd-baghabari-50-mw-peaking-pp-2011,Baghabari 50 MW Peaking PP,Baghabari,52.0,hfo,HFO,public,BPDB,,2011-08-29,day,,bpdb_ar2019_20_commissioning
bd-fenchuganj-90-mw-cc-2011,Fenchuganj 90 MW CC,Fenchuganj,104.0,gas,Gas,public,BPDB,,2011-10-26,day,,bpdb_ar2019_20_commissioning
bd-bera-70-mw-peaking-pp-2011,Bera 70 MW Peaking PP,Bera,71.0,hfo,HFO,public,BPDB,,2011-10-28,day,,bpdb_ar2019_20_commissioning
bd-titas-doudkandi-50-mw-peaking-pp-2011,"Titas, Doudkandi 50 MW Peaking PP",Titas,52.0,hfo,HFO,public,BPDB,,2011-10-29,day,,bpdb_ar2019_20_commissioning
bd-siddhirganj-2x120-mw-peaking-pp-2011,Siddhirganj 2x120 MW Peaking PP,Siddhirganj,105.0,gas,Gas,public,EGCB,,2011-12-01,month,,bpdb_ar2019_20_commissioning
bd-faridpur-50-mw-peaking-pp-2011,Faridpur 50 MW Peaking PP,Faridpur,54.0,hfo,HFO,public,BPDB,,2011-11-01,month,,bpdb_ar2019_20_commissioning
bd-gopalganj-100-mw-peaking-pp-2011,Gopalganj 100 MW Peaking PP,Gopalganj,109.0,hfo,HFO,public,BPDB,,2011-09-29,day,,bpdb_ar2019_20_commissioning
bd-sangu-dohazari-100-mw-peaking-pp-2011,"Sangu, Dohazari 100 MW Peaking PP",Sangu,102.0,hfo,HFO,public,BPDB,,2011-12-30,day,,bpdb_ar2019_20_commissioning
bd-hathazari-100-mw-peaking-pp-2011,Hathazari 100 MW Peaking PP,Hathazari,98.0,hfo,HFO,public,BPDB,,2011-12-23,day,,bpdb_ar2019_20_commissioning
bd-siddhirganj-sponsor-desh-energy-2011,Siddhirganj (Sponsor: Desh Energy),Siddhirganj,100.0,hsd,Diesel,rental,BPDB,Desh Energy,2011-02-17,day,,bpdb_ar2019_20_commissioning
bd-b-baria-sponsor-aggreko-2011,B Baria (Sponsor: Aggreko),B,70.0,gas,Gas,rental,BPDB,Aggreko,2011-03-06,day,,bpdb_ar2019_20_commissioning
bd-modanganj-sponsor-summit-power-2011,Modanganj (Sponsor: Summit Power),Modanganj,102.0,hfo,HFO,rental,BPDB,Summit Power,2011-04-01,day,,bpdb_ar2019_20_commissioning
bd-meghnaghat-sponsor-iel-2011,Meghnaghat (Sponsor: IEL),Meghnaghat,100.0,hfo,HFO,rental,BPDB,IEL,2011-05-08,day,,bpdb_ar2019_20_commissioning
bd-ghorashal-sponsor-max-power-2011,Ghorashal (Sponsor: Max Power),Ghorashal,78.0,gas,Gas,rental,BPDB,Max Power,2011-05-27,day,,bpdb_ar2019_20_commissioning
bd-noapara-sponsor-khan-jahan-ali-2011,Noapara (Sponsor: Khan Jahan Ali),Noapara,40.0,hfo,HFO,rental,BPDB,Khan Jahan Ali,2011-05-28,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-sponsor-aggreko-2011,Ashuganj (Sponsor: Aggreko),Ashuganj,80.0,gas,Gas,rental,BPDB,Aggreko,2011-05-31,day,,bpdb_ar2019_20_commissioning
bd-khulna-sponsor-kpcl-2011,Khulna (Sponsor: KPCL),Khulna,115.0,hfo,HFO,rental,BPDB,KPCL,2011-06-01,day,,bpdb_ar2019_20_commissioning
bd-ashuganj-sponsor-united-power-2011,Ashuganj (Sponsor: United Power),Ashuganj,53.0,gas,Gas,rental,BPDB,United Power,2011-06-22,day,,bpdb_ar2019_20_commissioning
bd-siddhirganj-sponsor-dutch-bangla-power-2011,Siddhirganj (Sponsor: Dutch Bangla Power),Siddhirganj,100.0,hfo,HFO,rental,BPDB,Dutch Bangla Power,2011-07-21,day,,bpdb_ar2019_20_commissioning
bd-noapara-jashore-5-years-rental-2011,"Noapara, Jashore (5 Years Rental)",Noapara,105.0,hfo,HFO,rental,BPDB,,2011-08-26,day,,bpdb_ar2019_20_commissioning
bd-bogura-3-years-rental-sponsor-energy-prima-2011,Bogura 3 Years Rental (Sponsor: Energy Prima),Bogura,20.0,gas,Gas,rental,BPDB,Energy Prima,2011-11-13,day,,bpdb_ar2019_20_commissioning
bd-julda-chattogram-2012,"Julda, Chattogram",Julda,50.0,hfo,HFO,rental,BPDB,,2012-01-13,day,,bpdb_ar2019_20_commissioning
bd-keraniganj-power-pack-2012,Keraniganj (Power Pack),Keraniganj,44.0,gas,Gas,rental,BPDB,Power Pack,2012-02-15,day,,bpdb_ar2019_20_commissioning
bd-katakhali-rajshahi-sponsor-npsl-2012,"Katakhali, Rajshahi (Sponsor: NPSL)",Katakhali,100.0,hfo,HFO,rental,BPDB,NPSL,2012-03-26,day,,bpdb_ar2019_20_commissioning
bd-amnura-chapainawabganj-sponsor-sinha-power-2012,"Amnura, Chapainawabganj (Sponsor: Sinha Power)",Amnura,100.0,hfo,HFO,rental,BPDB,Sinha Power,2012-03-27,day,,bpdb_ar2019_20_commissioning
bd-fenchuganj-3-years-rental-sponsor-energy-prime-l-2012,Fenchuganj 3 Years Rental (Sponsor: Energy Prime Ltd.),Fenchuganj,50.0,hfo,HFO,rental,BPDB,Energy Prime Ltd,2012-05-23,day,,bpdb_ar2019_20_commissioning
