producer_key,producer,purchase_class,fy,kwh,bdt,audited_column,source_doc
"13 shikalbaha power station (dual fuel) 150 0% (946,612) - - 29,449,649 -","13 Shikalbaha Power Station (Dual Fuel) 150 0% (946,612) - - 29,449,649 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"13 shikalbaha power station (dual fuel) 150 0% (946,612) - - 29,449,649 -","13 Shikalbaha Power Station (Dual Fuel) 150 0% (946,612) - - 29,449,649 -",india,FY2022-23,566334055.0,595783703.0,Y,BPDB 2022-23.pdf
"13 tongi power station 105.00 0% (200,350) - - 3,357,916 -","13 Tongi Power Station 105.00 0% (200,350) - - 3,357,916 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"13 tongi power station 105.00 0% (200,350) - - 3,357,916 -","13 Tongi Power Station 105.00 0% (200,350) - - 3,357,916 -",rental,FY2020-21,228681818.0,232039734.0,Y,BPDB 2020-21.pdf
"14 siddirgonj power station 115.00 0% (1,287,000) - - 101,068,157 -","14 Siddirgonj Power Station 115.00 0% (1,287,000) - - 101,068,157 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"14 siddirgonj power station 115.00 0% (1,287,000) - - 101,068,157 -","14 Siddirgonj Power Station 115.00 0% (1,287,000) - - 101,068,157 -",rental,FY2020-21,727660368.0,828728526.0,Y,BPDB 2020-21.pdf
"19 siddirgonj power station 115 0% (634,281) - - 20,293,127 -","19 Siddirgonj Power Station 115 0% (634,281) - - 20,293,127 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"19 siddirgonj power station 115 0% (634,281) - - 20,293,127 -","19 Siddirgonj Power Station 115 0% (634,281) - - 20,293,127 -",india,FY2022-23,1143023591.0,1163316717.0,Y,BPDB 2022-23.pdf
"2 wind base power station, sonagazi 900kw 1 0% - - - 40,040 -","2 Wind Base Power Station, Sonagazi 900KW 1 0% - - - 40,040 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"2 wind base power station, sonagazi 900kw 1 0% - - - 40,040 -","2 Wind Base Power Station, Sonagazi 900KW 1 0% - - - 40,040 -",india,FY2022-23,3595171.0,3635211.0,Y,BPDB 2022-23.pdf
"22 shahjibazar 330 ccpp 330 0% (971,772) 793,136 229,219,097 -","22 Shahjibazar 330 CCPP 330 0% (971,772) 793,136 229,219,097 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"22 shahjibazar 330 ccpp 330 0% (971,772) 793,136 229,219,097 -","22 Shahjibazar 330 CCPP 330 0% (971,772) 793,136 229,219,097 -",india,FY2022-23,4050734120.0,4280746353.0,Y,BPDB 2022-23.pdf
"24 khulna power station 170.00 0% - - - 6,974,916 -","24 Khulna Power Station 170.00 0% - - - 6,974,916 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"24 khulna power station 170.00 0% - - - 6,974,916 -","24 Khulna Power Station 170.00 0% - - - 6,974,916 -",rental,FY2020-21,341453242.0,348428157.0,Y,BPDB 2020-21.pdf
"24 shahjibazar 100 p/s 100 0% (996,402) - - 11,301,382 -","24 Shahjibazar 100 P/S 100 0% (996,402) - - 11,301,382 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"24 shahjibazar 100 p/s 100 0% (996,402) - - 11,301,382 -","24 Shahjibazar 100 P/S 100 0% (996,402) - - 11,301,382 -",india,FY2022-23,566887019.0,578188401.0,Y,BPDB 2022-23.pdf
"27 hathazari peacking power plant 98.00 0% (856,680) 68,955,110 - 111,838,566 -","27 Hathazari Peacking Power Plant 98.00 0% (856,680) 68,955,110 - 111,838,566 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"27 hathazari peacking power plant 98.00 0% (856,680) 68,955,110 - 111,838,566 -","27 Hathazari Peacking Power Plant 98.00 0% (856,680) 68,955,110 - 111,838,566 -",rental,FY2020-21,176238639.0,357032315.0,Y,BPDB 2020-21.pdf
"35 bheramara power station - - (153,245) 33,693 - 3,090,483 -","35 Bheramara Power Station - - (153,245) 33,693 - 3,090,483 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"35 bheramara power station - - (153,245) 33,693 - 3,090,483 -","35 Bheramara Power Station - - (153,245) 33,693 - 3,090,483 -",rental,FY2020-21,212175243.0,215299420.0,Y,BPDB 2020-21.pdf
"36 barishal gas turbine power station - - (230,555) - - 15,382,270 -","36 Barishal Gas Turbine Power Station - - (230,555) - - 15,382,270 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"36 barishal gas turbine power station - - (230,555) - - 15,382,270 -","36 Barishal Gas Turbine Power Station - - (230,555) - - 15,382,270 -",rental,FY2020-21,89741304.0,105123574.0,Y,BPDB 2020-21.pdf
"37 bhola diesel power station (closed) - - - - - 1,955 -","37 Bhola Diesel Power Station (Closed) - - - - - 1,955 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"37 bhola diesel power station (closed) - - - - - 1,955 -","37 Bhola Diesel Power Station (Closed) - - - - - 1,955 -",rental,FY2020-21,30156042.0,30157997.0,Y,BPDB 2020-21.pdf
"39 bheramara power station - (73,609) 111,924 - 551,754 -","39 Bheramara Power Station - (73,609) 111,924 - 551,754 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"39 bheramara power station - (73,609) 111,924 - 551,754 -","39 Bheramara Power Station - (73,609) 111,924 - 551,754 -",india,FY2022-23,200352040.0,201015718.0,Y,BPDB 2022-23.pdf
"4 wind base power station, sirajgonj 2 mw 2 0% (25,317) - - - -","4 Wind Base Power Station, Sirajgonj 2 MW 2 0% (25,317) - - - -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"4 wind base power station, sirajgonj 2 mw 2 0% (25,317) - - - -","4 Wind Base Power Station, Sirajgonj 2 MW 2 0% (25,317) - - - -",india,FY2022-23,14940497.0,14939888.0,Y,BPDB 2022-23.pdf
"40 barishal gas turbine power station - (178,607) - - 3,358,266 -","40 Barishal Gas Turbine Power Station - (178,607) - - 3,358,266 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"40 barishal gas turbine power station - (178,607) - - 3,358,266 -","40 Barishal Gas Turbine Power Station - (178,607) - - 3,358,266 -",india,FY2022-23,78157892.0,81516158.0,Y,BPDB 2022-23.pdf
"40 kutubdia diesel generator 1.50 0% - 11,826,541 - 3,027,769 -","40 Kutubdia Diesel Generator 1.50 0% - 11,826,541 - 3,027,769 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"40 kutubdia diesel generator 1.50 0% - 11,826,541 - 3,027,769 -","40 Kutubdia Diesel Generator 1.50 0% - 11,826,541 - 3,027,769 -",rental,FY2020-21,137229521.0,152083831.0,Y,BPDB 2020-21.pdf
41 sandip diesel generator 2.64 0% - - - - -,41 Sandip Diesel Generator 2.64 0% - - - - -,rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
41 sandip diesel generator 2.64 0% - - - - -,41 Sandip Diesel Generator 2.64 0% - - - - -,rental,FY2020-21,236079639.0,236079639.0,Y,BPDB 2020-21.pdf
"43 dgd, dhaka - - - 522,305 - 70,757,188 -","43 Dgd, Dhaka - - - 522,305 - 70,757,188 -",rental,FY2019-20,0.0,0.0,,BPDB 2020-21.pdf
"43 dgd, dhaka - - - 522,305 - 70,757,188 -","43 Dgd, Dhaka - - - 522,305 - 70,757,188 -",rental,FY2020-21,47222384.0,118501877.0,Y,BPDB 2020-21.pdf
"44 kutubdia diesel generator - - 20,016,904 - 2,154,311 -","44 Kutubdia Diesel Generator - - 20,016,904 - 2,154,311 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"44 kutubdia diesel generator - - 20,016,904 - 2,154,311 -","44 Kutubdia Diesel Generator - - 20,016,904 - 2,154,311 -",india,FY2022-23,27788079.0,49959294.0,Y,BPDB 2022-23.pdf
"45 sandip diesel generator - - - - 4,355,468 -","45 Sandip Diesel Generator - - - - 4,355,468 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"45 sandip diesel generator - - - - 4,355,468 -","45 Sandip Diesel Generator - - - - 4,355,468 -",india,FY2022-23,12736.0,4368204.0,Y,BPDB 2022-23.pdf
47 shikalbaha power station (dual fuel) - - - - - -,47 Shikalbaha Power Station (Dual Fuel) - - - - - -,india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
47 shikalbaha power station (dual fuel) - - - - - -,47 Shikalbaha Power Station (Dual Fuel) - - - - - -,india,FY2022-23,172791268.0,172791268.0,Y,BPDB 2022-23.pdf
"50 dgd, dhaka - - 1,163,080 - 993,270 -","50 DGD, Dhaka - - 1,163,080 - 993,270 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"50 dgd, dhaka - - 1,163,080 - 993,270 -","50 DGD, Dhaka - - 1,163,080 - 993,270 -",india,FY2022-23,54019708.0,56176058.0,Y,BPDB 2022-23.pdf
"51 sbu haripur 20 0% (279,851) - - - 0.02","51 SBU Haripur 20 0% (279,851) - - - 0.02",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"51 sbu haripur 20 0% (279,851) - - - 0.02","51 SBU Haripur 20 0% (279,851) - - - 0.02",india,FY2022-23,250948130.0,250941401.0,Y,BPDB 2022-23.pdf
"7 ghorashal power station (unit 1&2) 110 0% - - - 59,818,626 -","7 Ghorashal Power Station (Unit 1&2) 110 0% - - - 59,818,626 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"7 ghorashal power station (unit 1&2) 110 0% - - - 59,818,626 -","7 Ghorashal Power Station (Unit 1&2) 110 0% - - - 59,818,626 -",india,FY2022-23,1639179496.0,1698998122.0,Y,BPDB 2022-23.pdf
"8 ghorashal power station (unit 3) 260 0% (862,500) - - 12,827,868 -","8 Ghorashal Power Station (Unit 3) 260 0% (862,500) - - 12,827,868 -",india,FY2021-22,0.0,0.0,,BPDB 2022-23.pdf
"8 ghorashal power station (unit 3) 260 0% (862,500) - - 12,827,868 -","8 Ghorashal Power Station (Unit 3) 260 0% (862,500) - - 12,827,868 -",india,FY2022-23,4184007608.0,4196835476.0,Y,BPDB 2022-23.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2019-20,404137440.0,4095794531.0,,BPDB 2020-21.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2020-21,791750046.0,8370704611.0,Y,BPDB 2020-21.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2021-22,809133408.0,13339615719.0,,BPDB 2022-23.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2022-23,606898512.0,11595940386.0,Y,BPDB 2022-23.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2023-24,414870912.0,9846377877.0,Y,BPDC 2023-24.pdf
ace alliance power ltd (149mw) (summit gazipur),ACE Alliance Power Ltd. (149MW) (Summit Gazipur),ipp,FY2024-25,564591888.0,13933068773.0,Y,BPDB 2024-25.pdf
acron infracture service ltd (unit-3),Acron Infracture Service Ltd. (Unit-3),ipp,FY2019-20,329174995.0,3710075142.0,,BPDB 2020-21.pdf
acron infracture service ltd (unit-3),Acron Infracture Service Ltd. (Unit-3),ipp,FY2020-21,610561267.0,6065069101.0,Y,BPDB 2020-21.pdf
