plant_name,unit_type,ownership,fuel_raw,cod,retirement_date,tenure_years,capacity_mw,source_doc,source_fy
Ashuganj 150 MW ST3,ST,public,Gas,1986-12-17,2021-12-17,35.0,150.0,BPDB 2020-21.pdf,FY2020-21
Ashuganj 150 MW ST4,ST,public,Gas,1987-05-04,2022-04-05,34.92,150.0,BPDB 2020-21.pdf,FY2020-21
Ghorasal 210 MW STunit4,ST,public,Gas,1989-03-18,2022-06-30,33.28,210.0,BPDB 2020-21.pdf,FY2020-21
Sylhet 20 MW PP,CT,public,Gas,1986-12-13,2022-06-30,35.55,20.0,BPDB 2020-21.pdf,FY2020-21
Haripur 32 MW GT1,CT,public,Gas,1987-10-31,2022-06-30,34.66,32.0,BPDB 2020-21.pdf,FY2020-21
Fenchuganj 91 MW CCPP (1st Unit),CC,public,Gas,1994-12-24,2022-06-30,27.52,97.0,BPDB 2020-21.pdf,FY2020-21
Siddirganj 100 MW Q.Rental PP,RE,private,HFO,2011-07-21,2021-07-20,10.0,100.0,BPDB 2020-21.pdf,FY2020-21
"Amnura, Chapainawabgonj Q.RPP",RE,private,HFO,2012-01-13,2022-01-12,10.0,50.0,BPDB 2020-21.pdf,FY2020-21
Bhola 80 MW Q. Rental PP,RE,private,Gas,2011-05-31,2022-03-17,10.8,95.0,BPDB 2020-21.pdf,FY2020-21
"Julda, 100 MW Q.RPP",RE,private,HFO,2012-03-26,2022-03-25,10.0,100.0,BPDB 2020-21.pdf,FY2020-21
Keranigonj 100 MW Q.Rental PP,RE,private,HFO,2012-03-27,2022-03-26,10.0,100.0,BPDB 2020-21.pdf,FY2020-21
Katakhali 50 MW Q. Rental PP( NPSL),RE,private,HFO,2012-05-22,2022-05-21,10.0,50.0,BPDB 2020-21.pdf,FY2020-21
Ashuganj 150 MW ST5,ST,public,GAS,1988-03-21,2023-03-21,35.0,150.0,BPDB 2020-21.pdf,FY2020-21
Rangpur 20 MW PP,CT,public,HSD,1988-08-16,2023-06-30,34.87,20.0,BPDB 2020-21.pdf,FY2020-21
Saidpur 20 MW PP,CT,public,HSD,1987-09-17,2023-06-30,35.78,20.0,BPDB 2020-21.pdf,FY2020-21
Bhola 3 Years RPP (Venture),CT,private,Gas,2009-07-12,2022-07-11,13.0,33.0,BPDB 2020-21.pdf,FY2020-21
