plant_name_raw|capacity_mw_raw|fuel_raw|owner_raw|commissioning_raw
Shikalbaha 55 MW Rental Power Plant|55|HFO|Rental (BPDB)|6 May, 2010
Ashuganj Rental Power Plant|50|Gas|Rental (BPDB)|7 April, 2010
Thakurgaon, 3 Years Rental Khulna (Sponsor: Aggreko)|55|HFO|Rental (BPDB)|2 August, 2010
Pagla, Narayaganj (Sponsor: DPAPGL)|55|Gas|Rental (BPDB)|23 August, 2010
Bheramara 3 Years Rental|50|Diesel|Rental (BPDB)|10 August, 2010
Ghorashal (Sponsor: Aggreko)|145|Diesel|Rental (BPDB)|24 November, 2010
Shikalbaha 150 MW|150|HFO|BPDB|18 August, 2010
Siddhirganj 2x120 MW GT|105|Gas|EGCB|14 October, 2010
Ashuganj 50 MW Power Plant|53|Gas|APSCL|30 April, 2011
Baghabari 50 MW Peaking PP|52|HFO|BPDB|29 August, 2011
Fenchuganj 90 MW CC|104|Gas|BPDB|26 October, 2011
Bera 70 MW Peaking PP|71|HFO|BPDB|28 October, 2011
Titas, Doudkandi 50 MW Peaking PP|52|HFO|BPDB|29 October, 2011
Siddhirganj 2x120 MW Peaking PP|105|Gas|EGCB|December, 2011
Faridpur 50 MW Peaking PP|54|HFO|BPDB|November, 2011
Gopalganj 100 MW Peaking PP|109|HFO|BPDB|29 September, 2011
Sangu, Dohazari 100 MW Peaking PP|102|HFO|BPDB|30 December, 2011
Hathazari 100 MW Peaking PP|98|HFO|BPDB|23 December, 2011
Siddhirganj (Sponsor: Desh Energy)|100|Diesel|Rental (BPDB)|17 February, 2011
B Baria (Sponsor: Aggreko)|70|Gas|Rental (BPDB)|06 March, 2011
Modanganj (Sponsor: Summit Power)|102|HFO|Rental (BPDB)|01 April, 2011
Meghnaghat (Sponsor: IEL)|100|HFO|Rental (BPDB)|08 May, 2011
Ghorashal (Sponsor: Max Power)|78|Gas|Rental (BPDB)|27 May, 2011
Noapara (Sponsor: Khan Jahan Ali)|40|HFO|Rental (BPDB)|28 May, 2011
Ashuganj (Sponsor: Aggreko)|80|Gas|Rental (BPDB)|31 May, 2011
Khulna (Sponsor: KPCL)|115|HFO|Rental (BPDB)|01 June, 2011
Ashuganj (Sponsor: United Power)|53|Gas|Rental (BPDB)|22 June, 2011
Siddhirganj (Sponsor: Dutch Bangla Power)|100|HFO|Rental (BPDB)|21 July, 2011
Noapara, Jashore (5 Years Rental)|105|HFO|Rental (BPDB)|26 August, 2011
Bogura 3 Years Rental (Sponsor: Energy Prima)|20|Gas|Rental (BPDB)|13 November, 2011
Julda, Chattogram|50|HFO|Rental (BPDB)|13 January, 2012
Keraniganj (Power Pack)|44|Gas|Rental (BPDB)|15 February, 2012
Katakhali, Rajshahi (Sponsor: NPSL)|100|HFO|Rental (BPDB)|26 March, 2012
Amnura, Chapainawabganj (Sponsor: Sinha Power)|100|HFO|Rental (BPDB)|27 March, 2012
Fenchuganj 3 Years Rental (Sponsor: Energy Prime Ltd.)|50|HFO|Rental (BPDB)|23 May, 2012
Sylhet 150 MW Power Plant|150|Gas|BPDB|28 March, 2012
Gazipur 50 MW PP|52|Gas/HFO|RPCL|July, 2012
Sirajganj 150 MW GT|150|Gas/HSD|NWPGCL|GT: March, 2012; CC: July 2012
Santahar 50 MW Peaking Power Plant|50|HFO|BPDB|December, 2012
